age,ast_pct,blk_pct,bpm,bpm-dum,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,href,mp,obpm,orb_pct,ows,per,player,player_id,pos,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws-dum,ws_per_48,birthplace
31,,,,,,,3.6,,.467,63,/players/a/armstcu01.html,,,,-0.1,,Curly Armstrong,armstcu01,G-F,1950.0,,FTW,,,.368,,,3.5,,,"Fort Wayne, Indiana"
29,,,,,,,0.6,,.387,49,/players/b/barkecl01.html,,,,1.6,,Cliff Barker,barkecl01,SG,1950.0,,INO,,,.435,,,2.2,,,"Yorktown, Indiana"
25,,,,,,,2.8,,.259,67,/players/b/barnhle01.html,,,,0.9,,Leo Barnhorst,barnhle01,SF,1950.0,,CHS,,,.394,,,3.6,,,"Indianapolis, Indiana"
24,,,,,,,-0.1,,.395,15,/players/b/barteed01.html,,,,-0.5,,Ed Bartels,barteed01,F,1950.0,,TOT,,,.312,,,-0.6,,,"New York, New York"
22,,,,,,,1.2,,.301,60,/players/b/beardra01.html,,,,3.6,,Ralph Beard,beardra01,G,1950.0,,INO,,,.422,,,4.8,,,"Hardinsburg, Kentucky"
23,,,,,,,0.0,,.313,3,/players/b/bercege01.html,,,,-0.1,,Gene Berce,bercege01,G-F,1950.0,,TRI,,,.275,,,-0.1,,,"Milwaukee, Wisconsin"
28,,,,,,,5.0,,.395,65,/players/b/blackch01.html,,,,-2.2,,Charlie Black,blackch01,F-C,1950.0,,TOT,,,.346,,,2.8,,,"Arco, Idaho"
25,,,,,,,1.3,,.528,57,/players/b/bobbne01.html,,,,0.4,,Nelson Bobb,bobbne01,PG,1950.0,,PHW,,,.396,,,1.8,,,"Philadelphia, Pennsylvania"
22,,,,,,,1.5,,.384,60,/players/b/bornhja01.html,,,,-0.7,,Jake Bornheimer,bornhja01,F-C,1950.0,,PHW,,,.356,,,0.8,,,"New Brunswick, New Jersey"
22,,,,,,,1.4,,.445,59,/players/b/borylvi01.html,,,,2.6,,Vince Boryla,borylvi01,SF,1950.0,,NYK,,,.426,,,3.9,,,"East Chicago, Indiana"
24,,,,,,,-0.7,,.625,62,/players/b/bovendo01.html,,,,4.4,,Don Boven,bovendo01,F-G,1950.0,,WAT,,,.461,,,3.8,,,"Kalamazoo, Michigan"
27,,,,,,,-0.7,,.375,61,/players/b/boykoha01.html,,,,6.0,,Harry Boykoff,boykoha01,C,1950.0,,WAT,,,.479,,,5.3,,,"Brooklyn, New York"
21,,,,,,,0.7,,.284,46,/players/b/bradljo01.html,,,,-1.0,,Joe Bradley,bradljo01,G,1950.0,,CHS,,,.289,,,-0.3,,,"Washington, Oklahoma"
23,,,,,,,-0.5,,.494,59,/players/b/brannbo01.html,,,,2.1,,Bob Brannum,brannbo01,PF,1950.0,,SHE,,,.408,,,1.6,,,"Winfield, Kansas"
22,,,,,,,1.9,,.365,67,/players/b/braunca01.html,,,,5.2,,Carl Braun*,braunca01,G-F,1950.0,,NYK,,,.434,,,7.2,,,"Brooklyn, New York"
26,,,,,,,5.6,,.422,64,/players/b/brianfr01.html,,,,3.6,,Frankie Brian,brianfr01,G,1950.0,,AND,,,.415,,,9.2,,,"Zachary, Louisiana"
29,,,,,,,0.1,,.565,7,/players/b/brookpr01.html,,,,0.5,,Price Brookfield,brookpr01,F-G,1950.0,,ROC,,,.592,,,0.5,,,"Floydada, Texas"
26,,,,,,,-0.9,,.330,62,/players/b/brownbo01.html,,,,2.1,,Bob Brown,brownbo01,F,1950.0,,DNN,,,.414,,,1.2,,,"Versailles, Ohio"
20,,,,,,,-0.1,,.563,31,/players/b/brownji01.html,,,,0.1,,Jim Browne,brownji01,C,1950.0,,DNN,,,.392,,,0.0,,,"Midlothian, Illinois"
24,,,,,,,2.0,,.403,66,/players/b/budkowa01.html,,,,0.7,,Walt Budko,budkowa01,PF,1950.0,,BLB,,,.388,,,2.7,,,"Kearney, New Jersey"
