,age,ast_pct,blk_pct,bpm,bpm-dum,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,href,mp,obpm,orb_pct,ows,per,player,player_id,pos,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws-dum,ws_per_48,birthplace,Region,City
96,28,7.0,0.5,-4.3,,-0.9,13.8,0.4,0.019,0.357,32,/players/d/davidko01.html,474.0,-3.5,6.3,-0.1,10.7,Kornél Dávid,davidko01,SF,2000.0,1.9,TOT,15.4,10.0,0.493,20.7,-0.3,0.3,,0.033,Hungary,,Hungary
372,23,2.3,3.8,-10.8,,-1.1,14.3,0.3,0.076,0.456,30,/players/s/stepavl01.html,202.0,-9.7,11.3,-0.6,6.7,Vladimir Stepania,stepavl01,C,2000.0,2.5,SEA,18.8,12.7,0.395,25.5,-0.5,-0.3,,-0.08,Georgia,,Georgia
3929,23,0.0,5.1,-2.3,,1.9,15.5,0.1,0.0,0.5,4,/players/s/sambch01.html,31.0,-4.2,11.5,0.1,12.0,Cheikh Samb,sambch01,C,2008.0,1.8,DET,17.0,13.5,0.717,8.9,0.0,0.1,,0.178,Senegal,,Senegal
7799,21,0.0,0.0,-25.9,,-6.2,24.4,0.0,0.333,0.0,3,/players/b/bentibe01.html,10.0,-19.7,0.0,-0.1,-17.6,Ben Bentil,bentibe01,PF,2017.0,0.0,DAL,25.0,11.6,0.0,18.9,-0.1,-0.1,,-0.473,Ghana,,Ghana
10365,27,,,,,,,1.4,,0.374,67,/players/d/duncaan01.html,,,,2.0,,Andy Duncan,duncaan01,F-C,1950.0,,ROC,,,0.461,,,3.4,,,,,
10385,20,,,,,,,1.2,,0.36,57,/players/g/grabojo01.html,,,,-0.6,,Joe Graboski,grabojo01,F-C,1950.0,,CHS,,,0.355,,,0.6,,,,,
10401,25,,,,,,,-0.1,,0.169,13,/players/h/hermabi01.html,,,,0.1,,Bill Herman,hermabi01,G,1950.0,,DNN,,,0.401,,,0.1,,,Ohio,,Ohio
10404,24,,,,,,,2.1,,0.398,60,/players/h/hoffmpa01.html,,,,2.0,,Paul Hoffman,hoffmpa01,G-F,1950.0,,BLB,,,0.403,,,4.1,,,,,
10416,26,,,,,,,1.0,,0.17,54,/players/k/katkale01.html,,,,-1.2,,Leo Katkaveck,katkale01,G,1950.0,,WSC,,,0.333,,,-0.2,,,,,
10424,22,,,,,,,-0.8,,0.297,62,/players/k/kubiale01.html,,,,1.3,,Leo Kubiak,kubiale01,G,1950.0,,WAT,,,0.395,,,0.5,,,Ohio,,Ohio
10435,27,,,,,,,1.8,,0.384,59,/players/m/macknjo01.html,,,,0.9,,Johnny Macknowski,macknjo01,G-F,1950.0,,SYR,,,0.405,,,2.8,,,Russia,,Russia
10453,28,,,,,,,2.4,,0.691,64,/players/m/mogusle01.html,,,,5.6,,Leo Mogus,mogusle01,F-C,1950.0,,PHW,,,0.496,,,8.0,,,Ohio,,Ohio
10457,23,,,,,,,2.0,,0.406,67,/players/n/nichoja01.html,,,,4.7,,Jack Nichols,nichoja01,PF,1950.0,,TOT,,,0.44,,,6.7,,,,,
10472,24,,,,,,,2.0,,0.351,61,/players/o/owensre01.html,,,,-0.3,,Red Owens,owensre01,SG,1950.0,,TOT,,,0.361,,,1.7,,,Texas,,Texas
10494,22,,,,,,,-0.3,,0.251,42,/players/r/royerbo01.html,,,,0.3,,Bob Royer,royerbo01,G,1950.0,,DNN,,,0.384,,,0.0,,,Indiana,,Indiana
10523,26,,,,,,,0.4,,0.254,49,/players/s/stumpge01.html,,,,-0.6,,Gene Stump,stumpge01,F-G,1950.0,,TOT,,,0.344,,,-0.2,,,,,
10585,23,,,,,,,0.2,,0.522,15,/players/g/gaydaed01.html,,,,0.4,,Ed Gayda,gaydaed01,G-F,1951.0,,TRI,,,0.495,,,0.6,,,,,
10834,23,,,,,,,0.5,,0.592,68,/players/h/henrido01.html,2263.0,,,2.9,12.9,Don Henriksen,henrido01,C,1953.0,,BLB,,,0.479,,,3.5,,0.074,Illinois,,Illinois
10862,24,,,,,,,0.4,,0.408,14,/players/m/mcconbu01.html,297.0,,,0.1,11.6,Bucky McConnell,mcconbu01,PG,1953.0,,MLH,,,0.406,,,0.5,,0.08,New Jersey,,New Jersey
10878,24,,,,,,,0.1,,0.269,5,/players/o/oboyljo01.html,97.0,,,-0.1,3.4,John O'Boyle,oboyljo01,SG,1953.0,,MLH,,,0.361,,,0.0,,-0.008,,,
10999,23,,,,,,,0.5,,0.292,67,/players/r/rogesal01.html,1937.0,,,0.3,10.7,Al Roges,rogesal01,SF,1954.0,,BLB,,,0.411,,,0.7,,0.018,Ohio,,Ohio
11050,22,,,,,,,1.6,,0.569,69,/players/f/farledi01.html,1113.0,,,1.3,12.7,Dick Farley,farledi01,SG,1955.0,,SYR,,,0.462,,,3.0,,0.128,,,
11071,22,,,,,,,1.6,,0.448,72,/players/k/kalafed01.html,1102.0,,,-0.9,9.7,Ed Kalafat,kalafed01,PF,1955.0,,MNL,,,0.386,,,0.7,,0.029,Montana,,Montana
11075,24,,,,,,,,,0.455,12,/players/k/kingda01.html,103.0,,,,,Dan King,kingda01,F,1955.0,,BLB,,,0.36,,,,,,,,
11139,23,,,,,,,0.0,,0.778,7,/players/b/bielkdo01.html,38.0,,,0.1,12.2,Don Bielke,bielkdo01,C,1956.0,,FTW,,,0.579,,,0.2,,0.198,Minnesota,,Minnesota
11147,23,,,,,,,0.0,,0.333,3,/players/d/davisre01.html,16.0,,,-0.1,-3.3,Red Davis,davisre01,C,1956.0,,ROC,,,0.145,,,-0.1,,-0.288,,,
11150,24,,,,,,,1.2,,0.355,69,/players/d/devlico01.html,1535.0,,,0.6,11.3,Corky Devlin,devlico01,SG,1956.0,,FTW,,,0.436,,,1.8,,0.057,New Jersey,,New Jersey
11153,24,,,,,,,0.0,,0.571,10,/players/f/feierro01.html,59.0,,,0.0,12.2,Ron Feiereisel,feierro01,G,1956.0,,MNL,,,0.428,,,0.0,,0.04,,,
11192,24,,,,,,,2.0,,0.254,72,/players/n/noblech01.html,2013.0,,,-0.9,10.8,Chuck Noble,noblech01,SG,1956.0,,FTW,,,0.402,,,1.1,,0.026,,,
11216,22,,,,,,,2.5,,0.555,72,/players/s/stephja01.html,2219.0,,,2.3,13.3,Jack Stephens,stephja01,SG,1956.0,,STL,,,0.464,,,4.8,,0.103,,,
11225,24,,,,,,,0.0,,0.0,1,/players/a/ablefo01.html,1.0,,,0.0,-41.0,Forest Able,ablefo01,G,1957.0,,SYR,,,0.0,,,0.0,,-2.062,,,
11229,29,,,,,,,0.0,,0.75,5,/players/b/barbejo01.html,19.0,,,-0.1,4.2,John Barber,barbejo01,F,1957.0,,STL,,,0.329,,,0.0,,-0.108,,,
11294,23,,,,,,,0.0,,0.455,4,/players/r/rayji01.html,43.0,,,-0.1,1.8,Jim Ray,rayji01,G,1957.0,,SYR,,,0.265,,,-0.1,,-0.094,,,
11317,21,,,,,,,0.5,,0.34,58,/players/t/thiebbi01.html,633.0,,,-0.3,12.0,Bill Thieben,thiebbi01,PF,1957.0,,FTW,,,0.403,,,0.2,,0.015,,,
11328,26,,,,,,,0.0,,0.0,3,/players/b/bolstdo01.html,21.0,,,0.0,2.2,Doug Bolstorff,bolstdo01,G,1958.0,,DET,,,0.4,,,0.0,,-0.004,,,
11330,22,,,,,,,0.0,,1.0,1,/players/b/brownge01.html,6.0,,,0.0,-7.2,George Brown,brownge01,F,1958.0,,MNL,,,0.174,,,0.0,,-0.308,,,
11342,26,,,,,,,0.2,,0.189,28,/players/d/dunnpa01.html,206.0,,,-0.3,9.4,Pat Dunn,dunnpa01,SG,1958.0,,PHW,,,0.359,,,-0.1,,-0.013,,,
11343,22,,,,,,,0.0,,0.143,8,/players/e/ebbenbi01.html,50.0,,,-0.3,1.1,Bill Ebben,ebbenbi01,G,1958.0,,DET,,,0.252,,,-0.2,,-0.233,,,
11363,26,,,,,,,0.1,,0.272,24,/players/i/ingramc01.html,267.0,,,-0.8,7.6,McCoy Ingram,ingramc01,PF,1958.0,,MNL,,,0.29,,,-0.7,,-0.119,,,
11390,22,,,,,,,0.1,,0.261,6,/players/p/paulsje01.html,68.0,,,0.0,7.9,Jerry Paulson,paulsje01,G,1958.0,,CIN,,,0.39,,,0.0,,0.016,,,
11440,22,,,,,,,0.9,,0.38,72,/players/e/ellisbo01.html,1202.0,,,1.6,14.1,Boo Ellis,ellisbo01,PF,1959.0,,MNL,,,0.484,,,2.5,,0.101,,,
11482,22,,,,,,,1.0,,0.36,48,/players/m/mcmilsh01.html,700.0,,,0.7,16.1,Shellie McMillon,mcmilsh01,PF,1959.0,,DET,,,0.462,,,1.7,,0.119,,,
11509,25,,,,,,,1.4,,0.451,58,/players/s/swainbe01.html,708.0,,,0.5,12.3,Bennie Swain,swainbe01,PF,1959.0,,BOS,,,0.453,,,1.9,,0.128,,,
11604,22,,,,,,,0.2,,0.296,10,/players/s/smithbo01.html,130.0,,,-0.4,7.4,Bobby Smith,smithbo01,G,1960.0,,MNL,,,0.303,,,-0.3,,-0.095,,,
11608,23,,,,,,,0.0,,0.526,8,/players/s/stevewa01.html,49.0,,,-0.2,6.1,Wayne Stevens,stevewa01,F,1960.0,,CIN,,,0.278,,,-0.2,,-0.169,,,
11612,27,,,,,,,0.2,,0.1,9,/players/w/windito01.html,193.0,,,-0.4,7.5,Tony Windis,windito01,PG,1960.0,,DET,,,0.287,,,-0.2,,-0.057,,,
11652,28,,,,,,,1.5,,0.302,79,/players/h/halbrsw01.html,1131.0,,,-1.8,8.9,Swede Halbrook,halbrsw01,C,1961.0,,SYR,,,0.368,,,-0.3,,-0.015,,,
11660,22,,,,,,,0.1,,0.395,14,/players/j/johnsro01.html,103.0,,,-0.2,7.5,Ron Johnson,johnsro01,F,1961.0,,TOT,,,0.366,,,-0.1,,-0.054,,,
11661,22,,,,,,,0.5,,0.163,46,/players/j/jolifho01.html,352.0,,,-0.8,8.2,Howie Jolliff,jolifho01,PF,1961.0,,LAL,,,0.341,,,-0.3,,-0.037,,,
11664,24,,,,,,,0.2,,0.292,35,/players/j/joneswi01.html,452.0,,,-0.3,10.0,Willie Jones,joneswi01,PG,1961.0,,DET,,,0.402,,,-0.1,,-0.013,,,
11669,22,,,,,,,1.1,,0.285,55,/players/l/lacoufr01.html,722.0,,,0.6,13.8,Fred LaCour,lacoufr01,SF,1961.0,,STL,,,0.465,,,1.7,,0.113,,,
11688,24,,,,,,,0.8,,0.296,68,/players/r/roberjo01.html,800.0,,,-0.6,9.9,Joe Roberts,roberjo01,SF,1961.0,,SYR,,,0.406,,,0.2,,0.014,,,
11707,25,,,,,,,0.0,,0.232,7,/players/a/arcenst01.html,110.0,,,-0.1,10.4,Stacey Arceneaux,arcenst01,F,1962.0,,STL,,,0.405,,,-0.1,,-0.036,,,
11718,24,,,,,,,0.4,,0.323,63,/players/b/buckhjo01.html,728.0,,,0.9,14.5,Joe Buckhalter,buckhjo01,PF,1962.0,,CIN,,,0.489,,,1.2,,0.082,,,
11721,22,,,,,,,0.0,,0.286,8,/players/b/burtoed01.html,28.0,,,0.0,12.7,Ed Burton,burtoed01,F,1962.0,,NYK,,,0.476,,,0.0,,0.075,,,
11735,28,,,,,,,0.0,,0.0,1,/players/e/eichhdi01.html,10.0,,,0.0,12.2,Rich Eichhorst,eichhdi01,G,1962.0,,STL,,,0.5,,,0.0,,0.072,,,
11766,23,,,,,,,0.0,,0.667,5,/players/k/kistldo01.html,13.0,,,0.0,12.1,Doug Kistler,kistldo01,F,1962.0,,NYK,,,0.515,,,0.0,,0.123,,,
11775,22,,,,,,,0.4,,0.633,67,/players/l/luckete01.html,396.0,,,0.0,9.0,Ted Luckenbill,luckete01,PF,1962.0,,PHW,,,0.44,,,0.4,,0.051,,,
11776,22,,,,,,,0.8,,0.188,66,/players/m/martiwh01.html,1018.0,,,-1.3,5.4,Whitey Martin,martiwh01,SG,1962.0,,NYK,,,0.359,,,-0.5,,-0.022,,,
11783,24,,,,,,,1.6,,0.429,77,/players/n/neumapa01.html,1265.0,,,1.6,11.6,Paul Neumann,neumapa01,PG,1962.0,,SYR,,,0.5,,,3.2,,0.123,,,
11787,23,,,,,,,0.0,,0.5,4,/players/o/osborch01.html,21.0,,,-0.1,4.7,Chuck Osborne,osborch01,PF,1962.0,,SYR,,,0.256,,,-0.1,,-0.134,,,
11791,23,,,,,,,0.2,,0.28,37,/players/r/radovfr01.html,175.0,,,-0.1,9.8,Frank Radovich,radovfr01,F,1962.0,,PHW,,,0.417,,,0.0,,0.006,,,
11806,23,,,,,,,0.5,,0.44,65,/players/s/simsbo01.html,1345.0,,,-0.1,9.0,Bob Sims,simsbo01,SG,1962.0,,TOT,,,0.434,,,0.4,,0.015,,,
11808,22,,,,,,,0.1,,0.242,9,/players/s/smithbi01.html,83.0,,,-0.2,5.7,Bill Smith,smithbi01,G-F,1962.0,,NYK,,,0.315,,,-0.2,,-0.101,,,
